key,key:booking,key:passenger
booking-record-01,booking-01,passenger-00
booking-record-02,booking-01,passenger-02
booking-record-03,booking-02,passenger-00
booking-record-04,booking-02,passenger-02
booking-record-05,booking-03,passenger-00
booking-record-06,booking-03,passenger-02
booking-record-07,booking-04,passenger-00
booking-record-08,booking-04,passenger-02
booking-record-09,booking-05,passenger-00
booking-record-10,booking-05,passenger-02
booking-record-11,booking-06,passenger-00
booking-record-12,booking-06,passenger-02
booking-record-13,booking-07,passenger-00
booking-record-14,booking-07,passenger-02
booking-record-15,booking-08,passenger-00
booking-record-16,booking-08,passenger-02
booking-record-17,booking-09,passenger-00
booking-record-18,booking-09,passenger-02
booking-record-19,booking-10,passenger-00
booking-record-20,booking-10,passenger-02
booking-record-21,booking-11,passenger-00
booking-record-22,booking-11,passenger-02
booking-record-23,booking-12,passenger-00
booking-record-24,booking-12,passenger-02
booking-record-25,booking-13,passenger-00
booking-record-26,booking-13,passenger-02
booking-record-27,booking-14,passenger-00
booking-record-28,booking-14,passenger-02
booking-record-31,booking-16,passenger-00
booking-record-32,booking-16,passenger-02
booking-record-33,booking-17,passenger-00
booking-record-34,booking-17,passenger-02
booking-record-35,booking-18,passenger-00
booking-record-36,booking-18,passenger-02
booking-record-37,booking-19,passenger-00
booking-record-38,booking-19,passenger-02
booking-record-39,booking-20,passenger-00
booking-record-40,booking-20,passenger-02
booking-record-41,booking-21,passenger-00
booking-record-42,booking-21,passenger-02

#Booking del customer 2
booking-record-29,booking-15,passenger-33


